cor_char,IS_cor_r,IS_cor_p,IS_CI_left,IS_CI_right,IS_adj.p,cor_char,IR_cor_r,IR_cor_p,IR_CI_left,IR_CI_right,IR_adj.p,Sig_num
genus_Barnesiella vs genus_Butyricicoccus,-0.238684199,0.002084784,-0.378933384,-0.087717083,0.014877334,genus_Barnesiella vs genus_Butyricicoccus,-0.171681125,0.034439929,-0.323054177,-0.011742685,0.13573559,1
genus_Barnesiella vs genus_Clostridium.XlVa,-0.28246951,0.000247705,-0.418439614,-0.134115524,0.002554148,genus_Barnesiella vs genus_Clostridium.XlVa,-0.129825062,0.110906439,-0.284174073,0.031083179,0.290484412,1
genus_Barnesiella vs genus_Flavonifractor,-0.288250489,0.000181883,-0.423617457,-0.140290513,0.001988941,genus_Barnesiella vs genus_Flavonifractor,-0.053111439,0.515785684,-0.211572122,0.108069949,0.718588242,1
genus_Barnesiella vs genus_Holdemania,-0.083026435,0.290534144,-0.234223295,0.072091965,0.507989147,genus_Barnesiella vs genus_Holdemania,-0.265434681,0.000949852,-0.408326423,-0.109845886,0.00935527,1
genus_Barnesiella vs genus_Lachnospiracea_incertae_sedis,-0.280149265,0.000279875,-0.416358954,-0.131640376,0.002804898,genus_Barnesiella vs genus_Lachnospiracea_incertae_sedis,0.042793033,0.600645407,-0.118279665,0.20167148,0.77988128,1
genus_Barnesiella vs genus_Odoribacter,0.511807926,2.48E-12,0.38825278,0.617287969,1.08E-10,genus_Barnesiella vs genus_Odoribacter,0.185515089,0.022125706,0.026027381,0.335793171,0.1003093,1
genus_Barnesiella vs genus_Roseburia,-0.205580498,0.008269906,-0.348721626,-0.053067251,0.045216753,genus_Barnesiella vs genus_Roseburia,-0.000247962,0.997580944,-0.16050311,0.160019923,0.999803341,1
genus_Barnesiella vs genus_unclassified_Clostridiales,0.251178081,0.001177741,0.100890152,0.390258619,0.009243546,genus_Barnesiella vs genus_unclassified_Clostridiales,0.152913343,0.060005131,-0.007532783,0.305683745,0.195864996,1
genus_Bilophila vs genus_Parabacteroides,-0.07746676,0.324156161,-0.22892767,0.077656303,0.540457805,genus_Bilophila vs genus_Parabacteroides,-0.236840121,0.003305796,-0.382580292,-0.079599918,0.025572766,1
genus_Bilophila vs genus_unclassified_Clostridiales,-0.190149843,0.014737197,-0.334536605,-0.03704042,0.067811927,genus_Bilophila vs genus_unclassified_Clostridiales,-0.315569349,7.49E-05,-0.452924824,-0.163580691,0.00109821,1
genus_Blautia vs genus_Clostridium.IV,-0.296626606,0.000114887,-0.431104022,-0.149257982,0.001346752,genus_Blautia vs genus_Clostridium.IV,0.008993961,0.912431683,-0.151485915,0.169011876,0.962899438,1
genus_Blautia vs genus_Clostridium.XVIII,0.261611648,0.000714991,0.11193143,0.399684116,0.006192691,genus_Blautia vs genus_Clostridium.XVIII,-0.021683805,0.790886026,-0.181315247,0.139060969,0.903416903,1
genus_Blautia vs genus_Clostridium.XlVa,0.217456415,0.005157125,0.065455741,0.359594387,0.03131357,genus_Blautia vs genus_Clostridium.XlVa,0.144244237,0.076234337,-0.01639632,0.297625611,0.228853573,1
genus_Blautia vs genus_Collinsella,0.013667312,0.862104106,-0.140824925,0.167509752,0.92738729,genus_Blautia vs genus_Collinsella,0.243023332,0.002554409,0.086115782,0.388166812,0.020507227,1
genus_Blautia vs genus_Dorea,0.702160136,1.12E-25,0.614496114,0.772695884,7.03E-24,genus_Blautia vs genus_Dorea,0.468986381,1.10E-09,0.333814511,0.585259524,3.95E-08,2
